WARNING: src/modules/memory/instruction_memory.v:13: $readmemb(data/inst.mem): Not enough words in the file for the requested range [0:63].
                   0 ** Start Simulation **
                   0 Instruction Memory 
VCD info: dumpfile sim.vcd opened for output.
                   0 [PC] pc :          x
                2285 [PC] pc :        180
                2295 [PC] pc :        184
                2305 [PC] pc :        176
                2315 [PC] pc :        180
                2325 [PC] pc :        184
                2335 [PC] pc :        176
                2345 [PC] pc :        180
                2355 [PC] pc :        184
                2365 [PC] pc :        176
                2375 [PC] pc :        180
                2385 [PC] pc :        184
                2395 [PC] pc :        176
                2405 [PC] pc :        180
                2415 [PC] pc :        184
                2425 [PC] pc :        176
                2435 [PC] pc :        180
                2445 [PC] pc :        184
                2455 [PC] pc :        176
                2465 [PC] pc :        180
                2475 [PC] pc :        184
                2485 [PC] pc :        176
                2495 [PC] pc :        180
                2505 [PC] pc :        184
                2515 [PC] pc :        176
                2525 [PC] pc :        180
                2535 [PC] pc :        184
                2545 [PC] pc :        176
                2555 [PC] pc :        180
                2565 [PC] pc :        184
                2575 [PC] pc :        176
                2585 [PC] pc :        180
                2595 [PC] pc :        184
                2605 [PC] pc :        176
                2615 [PC] pc :        180
                2625 [PC] pc :        184
                2635 [PC] pc :        176
                2645 [PC] pc :        180
                2655 [PC] pc :        184
                2665 [PC] pc :        176
                2675 [PC] pc :        180
                2685 [PC] pc :        184
                2695 [PC] pc :        176
                2705 [PC] pc :        180
                2715 [PC] pc :        184
                2725 [PC] pc :        176
                2735 [PC] pc :        180
                2745 [PC] pc :        184
                2755 [PC] pc :        176
                2765 [PC] pc :        180
                2775 [PC] pc :        184
                2785 [PC] pc :        176
                2795 [PC] pc :        180
                2805 [PC] pc :        184
                2815 [PC] pc :        176
                2825 [PC] pc :        180
                2835 [PC] pc :        184
                2845 [PC] pc :        176
                2855 [PC] pc :        180
                2865 [PC] pc :        184
                2875 [PC] pc :        176
                2885 [PC] pc :        180
                2895 [PC] pc :        184
                2905 [PC] pc :        176
                2915 [PC] pc :        180
                2925 [PC] pc :        184
                2935 [PC] pc :        176
                2945 [PC] pc :        180
                2955 [PC] pc :        184
                2965 [PC] pc :        176
                2975 [PC] pc :        180
                2985 [PC] pc :        184
                2995 [PC] pc :        176
                3005 [PC] pc :        180
                3015 [PC] pc :        184
                3025 [PC] pc :        176
                3035 [PC] pc :        180
                3045 [PC] pc :        184
                3055 [PC] pc :        176
                3065 [PC] pc :        180
                3075 [PC] pc :        184
                3085 [PC] pc :        176
                3095 [PC] pc :        180
                3105 [PC] pc :        184
                3115 [PC] pc :        176
                3125 [PC] pc :        180
                3135 [PC] pc :        184
                3145 [PC] pc :        176
                3155 [PC] pc :        180
                3165 [PC] pc :        184
                3175 [PC] pc :        176
                3185 [PC] pc :        180
                3195 [PC] pc :        184
                3205 [PC] pc :        176
                3215 [PC] pc :        180
                3225 [PC] pc :        184
                3235 [PC] pc :        176
                3245 [PC] pc :        180
                3255 [PC] pc :        184
